,FECHA_ENT,FECHA_VEN,CAN_TOT
9701,2022-09-15 00:00:00,2022-09-22,2146.9500000000003
9702,2022-09-22 00:00:00,2022-09-22,2748.5
9703,2022-09-22 00:00:00,2022-09-22,480.17
9704,2022-09-21 00:00:00,2022-09-22,13491.03
9705,2022-08-17 00:00:00,2022-09-22,3298.2759
9706,2022-09-22 00:00:00,2022-09-22,327.20000000000005
9707,2022-09-22 00:00:00,2022-09-22,559.0
9708,2022-09-15 00:00:00,2022-09-22,448.71000000000004
9709,2022-09-22 00:00:00,2022-09-22,442.75000000000006
9710,2022-09-23 00:00:00,2022-09-23,2450.0
9711,2022-09-23 00:00:00,2022-09-23,439.62000000000006
9712,2022-09-23 00:00:00,2022-09-23,924.0000000000001
9713,2022-09-23 00:00:00,2022-09-23,1277.5059
9714,2022-09-22 00:00:00,2022-09-23,1165.95
9715,2022-09-22 00:00:00,2022-09-23,1165.95
9716,2022-08-23 00:00:00,2022-10-23,8655.0
9717,2022-09-21 00:00:00,2022-09-23,6432.0
9718,2022-09-23 00:00:00,2022-09-23,1615.0
9719,2022-09-23 00:00:00,2022-09-23,1615.0000000000002
9720,2022-09-23 00:00:00,2022-09-23,1615.0000000000002
9721,2022-09-23 00:00:00,2022-09-23,1615.0000000000002
9722,2022-09-23 00:00:00,2022-09-23,970.0000000000001
9723,2022-09-19 00:00:00,2022-10-23,140040.00000000003
9724,2022-09-23 00:00:00,2022-09-23,636.6500000000001
9725,2022-09-23 00:00:00,2022-09-23,580.0
9726,2022-09-23 00:00:00,2022-09-23,3690.0000000000005
9727,2022-09-26 00:00:00,2022-09-26,2450.0
9728,2022-09-27 00:00:00,2022-09-26,1056.48
9729,2022-09-26 00:00:00,2022-09-26,2205.5
9730,2022-09-13 00:00:00,2022-10-26,14072.7
9731,2022-09-12 00:00:00,2022-09-26,13446.0
9732,2022-09-26 00:00:00,2022-09-26,465.20000000000005
9733,2022-09-26 00:00:00,2022-09-26,480.00000000000006
9734,2022-09-23 00:00:00,2022-10-26,5400.0
9735,2022-09-27 00:00:00,2022-10-26,3258.69
9736,2022-09-12 00:00:00,2022-09-26,2098.1400000000003
9737,2022-09-26 00:00:00,2022-09-26,1188.7491
9738,2022-08-22 00:00:00,2022-09-26,32200.000000000004
9739,2022-09-26 00:00:00,2022-09-26,95.0
9740,2022-09-22 00:00:00,2022-09-27,23160.0
9741,2022-09-27 00:00:00,2022-09-27,904.8900000000001
9742,2022-09-27 00:00:00,2022-09-27,1760.0000000000002
9743,2022-09-27 00:00:00,2022-09-27,1542.0
9744,2022-09-27 00:00:00,2022-09-27,610.63
9745,2022-09-27 00:00:00,2022-09-27,228.00000000000003
9746,2022-09-27 00:00:00,2022-09-27,880.0000000000001
9747,2022-09-27 00:00:00,2022-09-27,1022.0000000000001
9748,2022-09-27 00:00:00,2022-09-27,1012.96
9749,2022-09-27 00:00:00,2022-09-27,449.82383000000004
9750,2022-09-28 00:00:00,2022-09-28,675.0
9751,2022-09-28 00:00:00,2022-09-28,810.0
9752,2022-09-28 00:00:00,2022-09-28,675.0
9753,2022-09-28 00:00:00,2022-09-28,5680.305
9754,2022-09-28 00:00:00,2022-09-28,772.6034000000001
9755,2022-09-28 00:00:00,2022-09-28,530.1500000000001
9756,2022-09-28 00:00:00,2022-09-28,180.00000000000003
9757,2022-09-28 00:00:00,2022-09-28,674.0
9758,2022-09-27 00:00:00,2022-10-28,44259.0
9759,2022-09-28 00:00:00,2022-09-28,880.0
9760,2022-09-28 00:00:00,2022-09-28,1837.5000000000002
9761,2022-10-04 00:00:00,2022-09-29,2328.52
9762,2022-09-29 00:00:00,2022-10-29,970.0
9763,2022-09-22 00:00:00,2022-09-29,1546.1200000000001
9764,2022-09-29 00:00:00,2022-09-29,240.00000000000003
9765,2022-09-29 00:00:00,2022-09-29,2163.954
9766,2022-09-29 00:00:00,2022-09-29,344.85
9767,2022-09-28 00:00:00,2022-09-29,33082.5
